Date,Scheme Name,ISIN,NAV
2022-10-06,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.731
2022-10-06,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,98.4804
2022-10-06,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,40.7
2022-10-06,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.6686
2022-10-06,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.5183
2022-10-06,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.9423
2022-10-06,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,61.6394
2022-10-06,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.7976
2022-10-06,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,328.2355
2022-10-06,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,108.18
2022-10-06,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,192.0195
2022-10-07,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,43.66
2022-10-07,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,48.959
2022-10-07,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.56
2022-10-07,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,139.8526
2022-10-07,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.84
2022-10-07,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,285.823
2022-10-07,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,54.33
2022-10-07,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,713.926
2022-10-07,HSBC Large Cap Fund - Regular Growth,INF336L01016,312.0632
2022-10-07,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.7336
2022-10-07,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,98.5294
2022-10-07,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,40.64
2022-10-07,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.6361
2022-10-07,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.5224
2022-10-07,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.9435
2022-10-07,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,61.5039
2022-10-07,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.8047
2022-10-07,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,327.8351
2022-10-07,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,108.3
